item,itemLabel,startDate,endDate,psid
Q100734728,Gerardo Núñez,2020-02-15,,Q100734728-8D98853D-6E4A-46BD-883E-677D5EF999E2
Q1042871,Carlos Enciso,2020-02-15,2020-07-01,Q1042871-61FF0A1A-7BAB-4E6D-826B-44D701F9BC00
Q106163348,Felipe Schipani,2020-02-15,,Q106163348-E42DB64B-E6DD-4732-90B9-92191A8DD988
Q106512605,Alfredo Fratti,2020-02-15,,Q106512605-10119B93-FD80-40B2-B7C6-54CDFD1534C4
Q108528171,Alejo Umpiérrez,2020-02-15,2020-11-18,Q108528171-41E035CE-3D7A-4973-A3AC-8751B46198B8
Q1312690,Marne Osorio,2020-02-15,,Q1312690-9DEA7649-A365-4697-8D96-05843F08E1C8
Q1553996,Guillermo Besozzi,2020-02-15,2020-11-18,Q1553996-2259752F-B83A-4D51-8D21-12C74B72738D
Q1803805,Sebastián Sabini,2020-02-15,2022-02-28,Q1803805-9EAA117F-1984-4D0B-B433-FB03C7809EE2
Q18396777,César Vega,2020-02-15,,Q18396777-54FD4FD5-A3CD-408D-92A6-3368AD07269F
Q2023116,Omar Lafluf,2020-02-15,2020-11-18,Q2023116-149BFB92-D6DB-4A8E-840D-353FF156C7AE
Q20859060,Lilián Galán,2020-02-15,,Q20859060-A8CF923F-4AA8-4C4B-BFBF-4BEF4B043767
Q20994775,Cecilia Bottino,2015-02-15,,Q20994775-C8E30670-E8FD-416A-8D22-50C58BDE533A
Q20994989,Carlos Rodríguez Gálvez,2020-02-15,,Q20994989-0405F3CB-E929-44A4-B319-0282BD92BAB2
Q28517183,Felipe Carballo,2010-02-15,,Q28517183-09bb3907-4fcd-7280-29ed-87277f192dfb
Q29052505,Gonzalo Civila,2020-02-15,,Q29052505-66976899-29BC-420C-B237-D191DAD18E9F
Q30904782,Amin Niffouri,2020-02-15,2020-03-01,Q30904782-6129A8FB-C5ED-4929-B434-9F3A864D9AF2
Q3824716,Ope Pasquet,2020-02-15,,Q3824716-6ACA1628-2614-424A-B914-B64E5E9354C5
Q41777347,Martín Lema,2015-02-15,,Q41777347-2DF1ECBC-BC97-463B-B8F0-89560F381794
Q44090224,Cristina Lustemberg,2020-02-15,,Q44090224-CA2478C4-490D-4F83-BAB5-E08F2E296DBA
Q459151,Ana Olivera,2020-02-15,,Q459151-1D629071-91E5-4775-B957-A2AA4D24A769
Q5665525,Alejandro Sánchez,2020-02-15,2020-10-20,Q5665525-AD6B6E6E-EAE7-40B4-AD48-8F2B38AC1C61
Q5752037,Carlos Varela (Uruguay),2020-02-15,,Q5752037-FE847635-41E2-472B-9309-A3137C98760F
Q5798178,Daniel Caggiani,2020-02-15,,Q5798178-9812F58A-FF83-4BEC-ADB7-898EB5A3D7CA
Q5798595,Daniel Peña Fernández,2020-02-15,,Q5798595-FCC2FC9E-C4C5-46AD-B58A-2683C3D2A6F6
Q5878192,Gerardo Amarilla,2020-02-15,2020-08-26,Q5878192-57809055-89BB-4883-BF6F-8F08842FA002
Q5878631,Germán Cardoso,2021-08-23,,Q5878631-3C5DB89B-E001-477F-A784-C20FE47BDCEF
Q5878631,Germán Cardoso,2020-02-15,2020-03-01,Q5878631-8F48D201-DC7E-45E9-B0A9-54DD50F952B4
